people_id,roles_id
mark-wheeler,chief-executive
michael-ahie,chancellor
profjan-thomas,vice-chancellor
gary-caffell,mayor
david-hopman,chief-executive
adrienne-wilcock,mayor
don-mcleod,chief-executive-officer
honmatt-doocey,minister-for-mental-health
hayden-wano,chair
vince-hawksworth,chief-executive
prue-flacks,chair
chris-moller,chair
neal-barclay,chief-executive
paula-jackson,chair
leauanae-laulumac-leauanae,chief-executive-and-secretary-for-culture-and-heritage
mervin-singham,chief-executive
gerardine-clifford-lidstone,chief-executive
honandrew-hoggard,minister-for-food-safety
honandrew-hoggard,minister-for-biosecurity
honandrew-hoggard,associate-minister-of-agriculture-animal-welfare-skills
hontodd-mcclay,minister-of-forestry
hontodd-mcclay,minister-of-agriculture
honmark-patterson,minister-for-rural-communities
honmark-patterson,associate-minister-of-agriculture
honnicola-grigg,associate-minister-of-agriculture-horticulture
honshane-jones,minister-for-oceans-and-fisheries
ray-smith,director-general
honpenny-simmonds,minister-for-the-environment
honandrew-hoggard,associate-minister-for-the-environment
honchris-bishop,minister-responsible-for-rma-reform
honsimon-court,parliamentary-under-secretary-to-the-minister-responsible-for-rma-reform
james-palmer,chief-executive-and-secretary-for-the-environment
honnicola-grigg,minister-for-women
kellie-coombes,te-tumu-whakarae-mo-te-wahine-secretary-for-women-and-chief-executive
honsimon-watts,minister-for-energy
honchris-penk,minister-for-small-business-and-manufacturing
honchris-penk,minister-for-building-and-construction
honerica-stanford,minister-of-immigration
honscott-simpson,minister-of-commerce-and-consumer-affairs
hon-drshane-reti,minister-of-science-innovation-and-technology
hondavid-seymour,minister-for-regulation
honjudith-collins,minister-for-space
honshane-jones,minister-for-regional-development
honshane-jones,associate-minister-for-energy
honshane-jones,minister-of-resources
carolyn-tremain,chief-executive
andrew-bridgman,chief-executive-secretary-of-defence
hondavid-seymour,associate-minister-of-education-partnership-schools
hon-drshane-reti,minister-for-universities
iona-holsted,chief-executive-and-secretary-for-education
hontodd-mcclay,associate-minister-of-foreign-affairs
brook-barrington,chief-executive-and-secretary-of-foreign-affairs-and-trade
msaudrey-sonserson,director-general-of-health-and-chief-executive
hontama-potaka,associate-minister-of-housing-social-housing
andrew-crisp,chief-executive
honnicole-mckee,minister-for-courts
honnicole-mckee,associate-minister-of-justice-firearms
andrew-kibblewhite,secretary-for-justice-and-chief-executive
debbie-power,chief-executive
msaudrey-sonserson,chief-executive
james-meager,minister-for-youth
courtenay-johnston,tumu-whakarae-chief-executive
arapata-hakiwai,kaihautu-maori-co-leader
kirsten-wise,mayor
louise-miller,chief-executive
traci-houpapa,chairperson
honjudith-collins,minister-responsible-for-the-ncsc
lisa-fong,deputy-director-general
honmark-mitchell,minister-for-emergency-management-and-recovery
dave-gawn,chief-executive
rachel-esson,national-librarian
tiumalu-peter-fa-afiu,chairman
tina-mitchell,chief-executive
chris-black,board-chair
nick-smith,mayor
pat-dougherty,chief-executive
liam-sloan,chief-executive
daryl-wehner,chair
rhys-barrier,manager
owen-baigent,chairperson
jeremy-banks,board-chair
larrie-moore,chief-executive
jacqueline-baker,acting-chief-executive
neil-holdom,mayor
sarah-williamson,chief-executive
sam-cliffe,chief-executive-officer
david-chamberlain,chairperson
graeme-cosslett,director
honcasey-costello,minister-of-customs
christine-stevenson,acting-chief-executive-and-comptroller
honchris-penk,associate-minister-of-defence
honjudith-collins,minister-of-defence
air-marshalkevin-short,chief-of-defence-force
peter-kelly,chief-of-army
rear-admiraldavid-proctor,chief-of-navy
major-generaljohn-boswell-dsd,chief-of-army
air-vice-marshalandrew-clark,chief-of-air-force
kerry-prendergast,chair
annabelle-sheehan,chief-executive
james-meager,minister-for-hunting-and-fishing
barrie-barnes,chairperson
corina-jordan,chief-executive
alasdair-baxter,acting-chief-executive-officer
andy-tannock,chairperson
anselm-haanen,chairperson-surveyor-general
honsimon-watts,minister-of-climate-change
cecilia-tarrant,chair
chris-lyman,chief-executive
roger-sharp,chair
sirron-young,chairperson
richard-chambers,commissioner-of-police
rodger-finlay,chair
david-walsh,chief-executive-officer
daiman-smith,general-manager
murray-sherwin,chairperson
drgrant-klinkum,chief-executive
murray-strong,board-chair
rob-jager,chair
