id,honorific,name,is_minister
damecindy-kiro,Dame,Cindy Kiro,0
nigel-corry,,Nigel Corry,0
daran-ponter,,Daran Ponter,0
paul-morris,,Paul Morris,0
tania-gibson,,Tania Gibson,0
jo-townsend,,Jo Townsend,0
john-williamson,,John Williamson,0
lance-vervoort,,Lance Vervoort,0
paula-southgate,,Paula Southgate,0
toosavili-nigel-bickle,,To’osavili Nigel Bickle,0
sandra-hazelhurst,,Sandra Hazelhurst,0
toby-adams,,Toby Adams,0
langley-cavers,,Langley Cavers,0
corina-jordan,,Corina Jordan,0
bruce-bates,,Bruce Bates,0
drnic-peet,Dr,Nic Peet,0
hinewai-ormsby,,Hinewai Ormsby,0
honcasey-costello,Hon,Casey Costello,1
honmatt-doocey,Hon,Matt Doocey,1
morag-mcdowell,,Morag McDowell,0
fepuleai-margie-apa,,Fepulea’i Margie Apa,0
professorlester-levy,Professor,Lester Levy,0
dr-janice-wilson,,Dr Janice Wilson,0
drdale-bramley,Dr,Dale  Bramley,0
professorsunny-collings,Professor,Sunny Collings,0
don-cameron,,Don Cameron,0
ric-cullinane,,Ric Cullinane,0
honmarian-hobbs,Hon,Marian Hobbs,0
andrew-coleman,,Andrew Coleman,0
bill-moran,,Bill Moran,0
michael-scott,,Michael Scott,0
michael-mccartney,,Michael McCartney,0
rachel-keedwell,,Rachel Keedwell,0
bernie-wanden,,Bernie Wanden,0
monique-davidson,,Monique Davidson,0
simon-moutter,,Simon Moutter,0
andrew-mckenzie,,Andrew McKenzie,0
meg-de-ronde,,Meg de Ronde,0
stephen-rainbow,,Stephen Rainbow,0
marie-black,,Marie Black,0
hamish-dobbie,,Hamish Dobbie,0
jo-miller,,Jo Miller,0
campbell-barry,,Campbell Barry,0
judgekenneth-johnston-kc,Judge,Kenneth Johnston KC,0
honsimon-court,Hon,Simon Court,1
dr-alan-bollard,,Dr Alan Bollard,0
geoff-cooper,,Geoff Cooper,0
peter-mersi,,Peter Mersi,0
don-mackinnon,,Don MacKinnon,0
rebecca-rolls,,Rebecca Rolls,0
nobby-clark,,Nobby Clark,0
clare-hadley,,Clare Hadley,0
will-doughty,,Will Doughty,0
craig-mackle,,Craig Mackle,0
craig-jepson,,Craig Jepson,0
jason-marris,,Jason Marris,0
janet-holborow,,Janet Holborow,0
darren-edwards,,Darren Edwards,0
faylene-tunui,,Faylene Tunui,0
russell-george,,Russell George,0
rob-jager,,Rob Jager,0
peter-reidy,,Peter Reidy,0
shaun-rendell,,Shaun Rendell,0
john-quirk,,John Quirk,0
drrichard-hawke,Dr,Richard Hawke,0
richard-gordon,,Richard Gordon,0
jane-taylor,,Jane Taylor,0
john-rae,,John Rae,0
mark-leslie,,Mark Leslie,0
sindy-gallen,,Sindy Gallen,0
amokura-kawharu,,Amokura Kawharu,0
karen-quigan,,Karen Quigan,0
bruce-gemmell,,Bruce Gemmell,0
profbruce-mckenzie,Prof,Bruce McKenzie,0
penny-langley,,Penny Langley,0
angela-oosthuizen,,Angela Oosthuizen,0
anne-munro,,Anne Munro,0
honkaren-chhour,Hon,Karen Chhour,1
drclaire-achmad,Dr,Claire Achmad,0
shayne-harris,,Shayne Harris,0
helen-worboys,,Helen Worboys,0
gus-gilmore,,Gus Gilmore,0
peter-winder,,Peter Winder,0
jamie-tuuta,,Jamie Tuuta,0
shane-taurima,,Shane Taurima,0
jo-brosnahan,,Jo Brosnahan,0
nadine-taylor,,Nadine Taylor,0
michael-ahie,,Michael Ahie,0
profjan-thomas,Prof,Jan Thomas,0
gary-caffell,,Gary Caffell,0
david-hopman,,David Hopman,0
adrienne-wilcock,,Adrienne Wilcock,0
don-mcleod,,Don McLeod,0
hayden-wano,,Hayden Wano,0
vince-hawksworth,,Vince Hawksworth,0
prue-flacks,,Prue Flacks,0
chris-moller,,Chris Moller,0
neal-barclay,,Neal Barclay,0
paula-jackson,,Paula Jackson,0
leauanae-laulumac-leauanae,Leauanae Laulu,Mac Leauanae,0
mervin-singham,,Mervin Singham,0
hon-drshane-reti,Hon Dr,Shane Reti,1
gerardine-clifford-lidstone,,Gerardine Clifford-Lidstone,0
ray-smith,,Ray Smith,0
james-palmer,,James Palmer,0
kellie-coombes,,Kellie Coombes,0
carolyn-tremain,,Carolyn Tremain,0
andrew-bridgman,,Andrew  Bridgman,0
iona-holsted,,Iona Holsted,0
brook-barrington,,Brook Barrington,0
doctordiana-sarfati,Doctor,Diana Sarfati,0
andrew-crisp,,Andrew Crisp,0
honnicole-mckee,Hon,Nicole McKee,1
andrew-kibblewhite,,Andrew Kibblewhite,0
debbie-power,,Debbie Power,0
audrey-sonserson,,Audrey Sonserson,0
courtenay-johnston,,Courtenay Johnston,0
arapata-hakiwai,,Arapata Hakiwai,0
kirsten-wise,,Kirsten Wise,0
louise-miller,,Louise Miller,0
traci-houpapa,,Traci Houpapa,0
lisa-fong,,Lisa Fong,0
dave-gawn,,Dave Gawn,0
rachel-esson,,Rachel Esson,0
tiumalu-peter-fa-afiu,,Tiumalu Peter Fa'afiu,0
tina-mitchell,,Tina Mitchell,0
chris-black,,Chris Black,0
nick-smith,,Nick Smith,0
pat-dougherty,,Pat Dougherty,0
liam-sloan,,Liam Sloan,0
daryl-wehner,,Daryl Wehner,0
rhys-barrier,,Rhys Barrier,0
owen-baigent,,Owen Baigent,0
jeremy-banks,,Jeremy Banks,0
larrie-moore,,Larrie Moore,0
jacqueline-baker,,Jacqueline Baker,0
neil-holdom,,Neil Holdom,0
sarah-williamson,,Sarah Williamson,0
peter-kelly,,Peter Kelly,0
sam-cliffe,,Sam Cliffe,0
david-chamberlain,,David Chamberlain,0
graeme-cosslett,,Graeme Cosslett,0
christine-stevenson,,Christine Stevenson,0
air-marshalkevin-short,Air Marshal,Kevin Short,0
rear-admiraldavid-proctor,Rear Admiral,David Proctor,0
major-generaljohn-boswell-dsd,Major General,"John Boswell, DSD",0
kerry-prendergast,,Kerry Prendergast,0
annabelle-sheehan,,Annabelle Sheehan,0
barrie-barnes,,Barrie Barnes,0
alasdair-baxter,,Alasdair Baxter,0
andy-tannock,,Andy Tannock,0
anselm-haanen,,Anselm Haanen,0
cecilia-tarrant,,Cecilia Tarrant,0
chris-lyman,,Chris Lyman,0
roger-sharp,,Roger Sharp,0
sirron-young,Sir,Ron Young,0
richard-chambers,,Richard Chambers,0
rodger-finlay,,Rodger Finlay,0
david-walsh,,David Walsh,0
daiman-smith,,Daiman Smith,0
murray-sherwin,,Murray  Sherwin,0
drgrant-klinkum,Dr,Grant Klinkum,0
murray-strong,,Murray Strong,0
andrew-hampton,,Andrew Hampton,0
laurence-kubiak,,Laurence Kubiak,0
peter-biggs,,Peter Biggs,0
paul-brock,,Paul Brock,0
rene-de-monchy,,René de Monchy,0
honmelissa-lee,Hon,Melissa Lee,1
peter-chrisp,,Peter Chrisp,0
brett-gliddon,,Brett Gliddon,0
honsimon-bridges,Hon,Simon Bridges,0
sirmark-solomon-knzm,Sir,Mark Solomon KNZM,0
arihia-bennett,,Arihia Bennett,0
john-morgan,,John Morgan,0
barry-harris,,Barry Harris,0
rasmus-gabrielsson,,Rasmus Gabrielsson,0
alan-strong,,Alan Strong,0
craig-deal,,Craig Deal,0
phil-durham,,Phil Durham,0
jonathan-gibbard,,Jonathan Gibbard,0
tui-shortland,,Tui Shortland,0
ripeka-evans,,Ripeka Evans,0
wayne-jackson,,Wayne Jackson,0
rob-everett,,Rob Everett,0
cameron-harland,,Cameron Harland,0
drruth-harley-cmnz-obe,Dr,"Ruth Harley, CMNZ, OBE",0
caroline-flora,,Caroline Flora,0
michael-timmins,,Michael Timmins,0
david-wilson,,David Wilson,0
judgepeter-boshier,Judge,Peter Boshier,0
vaughan-renner,,Vaughan Renner,0
drcaroline-seelig,Dr,Caroline  Seelig,0
david-moore,,David Moore,0
miles-mcconway,,Miles McConway,0
chappie-te-kani,,Chappie Te Kani,0
colin-weatherall,,Colin Weatherall,0
ian-hadland,,Ian Hadland,0
phil-ker,,Phil Ker,0
kathy-grant,,Kathy Grant,0
gretchen-robertson,,Gretchen Robertson,0
richard-saunders,,Richard Saunders,0
corinne-haines,,Corinne Haines,0
john-bridgman,,John Bridgman,0
tanya-winter,,Tanya Winter,0
max-baxter,,Max Baxter,0
kim-tuaine,,Kim Tuaine,0
faamatuainu-tino-pereira,,Fa’amatuainu Tino Pereira,0
fiso-john-fiso-onzm,,Fiso John Fiso (ONZM),0
chris-dyhrberg,,Chris Dyhrberg,0
grant-smith,,Grant Smith,0
cassie-nicholson,,Cassie Nicholson,0
rafael-gonzalez-montero,,Rafael Gonzalez-Montero,0
sean-gray,,Sean Gray,0
george-reedy,,George Reedy,0
drpeter-bramley,Dr,Peter Bramley,0
sarah-fitt,,Sarah Fitt,0
greg-gent,,Greg Gent,0
david-hughes,,David Hughes,0
anita-baker,,Anita Baker,0
wendy-walker,,Wendy Walker,0
rob-forlong,,Rob Forlong,0
michael-webster,,Michael Webster,0
emma-boddy,,Emma Boddy,0
liz-macpherson,,Liz MacPherson,0
heather-baggott,,Heather Baggott,0
ian-fitzgerald,,Ian Fitzgerald,0
glenys-talivai,,Glenys Talivai,0
alan-livingston,,Alan Livingston,0
dan-coup,,Dan Coup,0
glyn-lewers,,Glyn Lewers,0
mike-theelen,,Mike Theelen,0
jacquie-barker,,Jacquie Barker,0
raewyn-lovett,,Raewyn Lovett,0
paul-thompson,,Paul Thompson,0
drjim-mather,Dr,Jim Mather,0
peter-beggs,,Peter Beggs,0
andy-watson,,Andy Watson,0
denese-bates-qc,,Denese Bates QC,0
amber-mcewen,,Amber McEwen,0
janine-smith-mnzm,,Janine Smith MNZM,0
christian-hawkesby,,Christian Hawkesby,0
professorneil-quigley,Professor,Neil Quigley,0
geoff-williams,,Geoff Williams,0
tania-tapsell,,Tania Tapsell,0
weston-kirton,,Weston Kirton,0
clive-manley,,Clive Manley,0
julian-elder,,Julian Elder,0
helen-anderson,,Helen Anderson,0
david-ward,,David Ward,0
sam-broughton,,Sam Broughton,0
karen-chang,,Karen Chang,0
andrew-coster,,Andrew Coster,0
paul-kirby,,Paul Kirby,0
sarah-clark,,Sarah Clark,0
shannon-pakura,,Shannon Pakura,0
phil-nixon,,Phil Nixon,0
waid-crockett,,Waid Crockett,0
gary-petley,,Gary Petley,0
miriam-taris,,Miriam Taris,0
