organisations_id,roles_id
the-treasury,deputy-prime-minister
the-treasury,associate-minister-of-finance
the-treasury,secretary-and-chief-executive
timaru-district-council,chief-executive
timaru-district-council,mayor
toi-ohomai-institute-of-technology,chief-executive
toi-ohomai-institute-of-technology,chairperson
transport-accident-investigation-commission,minister-of-transport
transport-accident-investigation-commission,associate-minister-of-transport
transport-accident-investigation-commission,chief-executive
transport-accident-investigation-commission,chief-commissioner
transpower-new-zealand-limited,minister-for-state-owned-enterprises
transpower-new-zealand-limited,chief-executive
transpower-new-zealand-limited,chair
tupu-tonu-ngapuhi-investment-fund,minister-of-finance
tupu-tonu-ngapuhi-investment-fund,minister-for-treaty-of-waitangi-negotiations
tupu-tonu-ngapuhi-investment-fund,chair
unitec-institute-of-technology,commissioner
unitec-institute-of-technology,interim-chief-executive
universal-college-of-learning,chair
universal-college-of-learning,chief-executive
universities-nz,chair
universities-nz,deputy-chair
universities-nz,chief-executive
universities-nz,deputy-chief-executive-portfolio-manager-research-and-planning-systems
university-of-auckland,vice-chancellor
university-of-auckland,chancellor
university-of-canterbury,vice-chancellor
university-of-canterbury,chancellor
university-of-otago,vice-chancellor
university-of-otago,chancellor
university-of-waikato,chancellor
university-of-waikato,vice-chancellor
upper-hutt-city-council,mayor
upper-hutt-city-council,chief-executive
valuers-registration-board,valuer-general
veterans-affairs-new-zealand,minister-for-veterans
victoria-university-of-wellington,vice-chancellor
victoria-university-of-wellington,chancellor
waikato-district-council,mayor
waikato-district-council,chief-executive
waikato-institute-of-technology,chair
waikato-institute-of-technology,acting-chief-executive
waikato-regional-council,chief-executive
waikato-regional-council,chairperson
waimakariri-district-council,acting-chief-executive
waimakariri-district-council,mayor
waimate-district-council,chief-executive
waimate-district-council,mayor
waipa-district-council,mayor
waipa-district-council,chief-executive
wairoa-district-council,chief-executive
wairoa-district-council,mayor
waitaki-district-council,chief-executive
waitaki-district-council,mayor
waitomo-district-council,chief-executive
waitomo-district-council,mayor
wellington-city-council,mayor
wellington-city-council,chief-executive
wellington-fish-and-game-council,minister-of-conservation
wellington-fish-and-game-council,chief-executive
wellington-fish-and-game-council,chairman
weltec,chief-executive
weltec,commissioner
west-coast-fish-and-game-council,minister-of-conservation
west-coast-fish-and-game-council,manager
west-coast-fish-and-game-council,chairperson
west-coast-regional-council,chief-executive
west-coast-regional-council,chair
western-bay-of-plenty-district-council,mayor
western-bay-of-plenty-district-council,chief-executive
western-institute-of-technology-at-taranaki,chief-executive
western-institute-of-technology-at-taranaki,chair
westland-district-council,mayor
westland-district-council,chief-executive
whaikaha-ministry-of-disabled-people,minister-for-disability-issues
whaikaha-ministry-of-disabled-people,chief-executive
whakatane-district-council,mayor
whakatane-district-council,chief-executive
whanganui-district-council,mayor
whanganui-district-council,chief-executive
whangarei-district-council,mayor
whangarei-district-council,chief-executive
whitireia-community-polytechnic,chief-executive
whitireia-community-polytechnic,commissioner
worksafe-new-zealand,minister-for-workplace-relations-and-safety
worksafe-new-zealand,chief-executive
worksafe-new-zealand,chair
