organisations_id,roles_id
external-reporting-board,chair-person
external-reporting-board,chief-executive
fairway-resolution,chief-executive
fairway-resolution,chair
far-north-district-council,chief-executive
far-north-district-council,mayor
financial-markets-authority,chief-executive
fire-and-emergency-new-zealand,minister-of-internal-affairs
fire-and-emergency-new-zealand,chair
fire-and-emergency-new-zealand,chief-executive
gambling-commission,executive-director
game-animal-council,general-manager
genesis-energy-limited,chief-executive
genesis-energy-limited,chairperson
gisborne-district-council,mayor
gisborne-district-council,chief-executive
gns-science,chief-executive
gns-science,chair
gore-district-council,mayor
gore-district-council,chief-executive
government-communications-security-bureau,minister-responsible-for-the-gcsb
government-communications-security-bureau,gcsb-director-general
government-superannuation-fund-authority,minister-of-finance
government-superannuation-fund-authority,associate-minister-of-finance
government-superannuation-fund-authority,chief-executive
government-superannuation-fund-authority,chair
governor-general,governor-general
greater-wellington-regional-council,chief-executive
greater-wellington-regional-council,chairperson
grey-district-council,chief-executive-officer
grey-district-council,mayor
guardians-of-new-zealand-superannuation,minister-of-finance
guardians-of-new-zealand-superannuation,associate-minister-of-finance
guardians-of-new-zealand-superannuation,chief-executive
guardians-of-new-zealand-superannuation,chairperson
hamilton-city-council,chief-executive
hamilton-city-council,mayor
hastings-district-council,chief-executive
hastings-district-council,mayor
hauraki-district-council,mayor
hauraki-district-council,chief-executive
hawkes-bay-fish-and-game-council,minister-of-conservation
hawkes-bay-fish-and-game-council,acting-manager
hawkes-bay-fish-and-game-council,chairman
hawkes-bay-regional-council,chief-executive
hawkes-bay-regional-council,chairperson
health-and-disability-commissioner,minister-of-health
health-and-disability-commissioner,associate-minister-of-health
health-and-disability-commissioner,minister-for-disability-issues
health-and-disability-commissioner,health-and-disability-commissioner
health-nz-te-whatu-ora,minister-of-health
health-nz-te-whatu-ora,associate-minister-of-health
health-nz-te-whatu-ora,chief-executive
health-nz-te-whatu-ora,commissioner
health-quality-and-safety-commission-new-zealand,minister-of-health
health-quality-and-safety-commission-new-zealand,associate-minister-of-health
health-quality-and-safety-commission-new-zealand,chief-executive
health-quality-and-safety-commission-new-zealand,chair
health-research-council-of-new-zealand,minister-of-health
health-research-council-of-new-zealand,associate-minister-of-health
health-research-council-of-new-zealand,chief-executive
health-research-council-of-new-zealand,chairperson
herengaanuku,chairperson
herengaanuku,chief-executive
heritage-nz,minister-for-arts-culture-and-heritage
heritage-nz,chair
heritage-nz,chief-executive
high-performance-sport-nz,chair
high-performance-sport-nz,chief-executive
horizons-regional-council,chief-executive
horizons-regional-council,chair
horowhenua-district-council,mayor
horowhenua-district-council,chief-executive
housing-new-zealand-corporation,minister-of-housing
housing-new-zealand-corporation,chair
housing-new-zealand-corporation,chief-executive
human-rights-commission,minister-of-justice
human-rights-commission,chief-executive
human-rights-commission,chief-human-rights-commissioner
hurunui-district-council,mayor
hurunui-district-council,chief-executive
hutt-city-council,chief-executive
hutt-city-council,mayor
immigration-new-zealand,minister-of-immigration
immigration-new-zealand,associate-minister-of-immigration
independent-police-conduct-authority,minister-of-justice
independent-police-conduct-authority,chair
infrastructure-commission,minister-for-infrastructure
infrastructure-commission,parliamentary-under-secretary-to-the-minister-for-infrastructure
infrastructure-commission,board-chair
infrastructure-commission,chief-executive
inland-revenue,minister-of-revenue
inland-revenue,chief-executive-and-commissioner
integrity-sport-and-recreation-commission,associate-minister-for-sport-and-recreation
integrity-sport-and-recreation-commission,minister-for-sport-and-recreation
integrity-sport-and-recreation-commission,chair
integrity-sport-and-recreation-commission,chief-executive
international-accreditation-new-zealand,chief-executive
international-accreditation-new-zealand,chair
invercargill-city-council,mayor
invercargill-city-council,chief-executive
kaikoura-district-council,chief-executive
kaikoura-district-council,mayor
kaipara-district-council,mayor
kaipara-district-council,chief-executive
kapiti-coast-district-council,mayor
kapiti-coast-district-council,chief-executive
kawerau-district-council,mayor
kawerau-district-council,chief-executive
kiwirail,minister-for-state-owned-enterprises
kiwirail,chair
kiwirail,chief-executive
kordia-group-limited,minister-for-state-owned-enterprises
kordia-group-limited,chief-executive
kordia-group-limited,chairman
land-information-new-zealand,minister-for-land-information
land-information-new-zealand,chief-executive
landcare-research-new-zealand-limited,ceo
landcare-research-new-zealand-limited,chair
landcorp,minister-for-state-owned-enterprises
